Record_id,File_id,EMR,Layer_Name,Source_Schema,Source_Table_Name,Source_Table_Name_dummy,Source_column_id,Source_column_data_type,Source_default_value,Target_Schema,Target_table,Target_table_dummy,Target_column_id,Target_column_data_type,Isactive,Created_date
1,1,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Allergy Code,INT,,Silver,Allergy,AdvMD_Allergy,Allergy Code,INT,1,
2,2,AdvMD,,Bronze,Allergy,AdvMD_Allergy,LicenseKey,INT,,Silver,Allergy,AdvMD_Allergy,BUSINESS_ID,INT,1,
3,3,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Allergy ID,INT,Null,Silver,Allergy,AdvMD_Allergy,Allergy ID,INT,1,
4,4,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Allergy Concept Type,INT,,Silver,Allergy,AdvMD_Allergy,Allergy Concept Type,INT,1,
5,5,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Type,STRING,,Silver,Allergy,AdvMD_Allergy,Type,STRING,1,
6,6,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Patient ID,INT,,Silver,Allergy,AdvMD_Allergy,Patient ID,INT,1,
7,7,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Allergy Name,STRING,,Silver,Allergy,AdvMD_Allergy,Allergy Name,STRING,1,
8,8,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Allergy Onset Date,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Onset Date,DATE,1,
9,9,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Allergy Reaction Name,STRING,,Silver,Allergy,AdvMD_Allergy,Allergy Reaction Name,STRING,1,
10,10,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Created By,STRING,,Silver,Allergy,AdvMD_Allergy,Created By,STRING,1,
11,11,AdvMD,,Bronze,Allergy,AdvMD_Allergy,RxNorm Code,STRING,,Silver,Allergy,AdvMD_Allergy,RxNorm Code,STRING,1,
12,12,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Created Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Created Datetime,TIMESTAMP,1,
13,13,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Deactivated By,STRING,,Silver,Allergy,AdvMD_Allergy,Deactivated By,STRING,1,
14,14,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Deactivated Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Deactivated Datetime,TIMESTAMP,1,
15,15,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Deleted By,STRING,,Silver,Allergy,AdvMD_Allergy,Deleted By,STRING,1,
16,16,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Deleted Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Deleted Datetime,TIMESTAMP,1,
17,17,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Last Modified By,STRING,,Silver,Allergy,AdvMD_Allergy,Last Modified By,STRING,1,
18,18,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Reactivated Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Reactivated Datetime,TIMESTAMP,1,
19,19,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Reactivated By,STRING,,Silver,Allergy,AdvMD_Allergy,Reactivated By,STRING,1,
20,20,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Last Modified Datetime,TIMESTAMP,,Silver,Allergy,AdvMD_Allergy,Last Modified Datetime,TIMESTAMP,1,
21,21,AdvMD,,Bronze,Allergy,AdvMD_Allergy,Note,STRING,,Silver,Allergy,AdvMD_Allergy,Note,STRING,1,
22,22,AdvMD,,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,AdvMD_Allergy,ETLBatchID,INT,1,
23,23,AdvMD,,Bronze,Allergy,AdvMD_Allergy,,,,Silver,Allergy,AdvMD_Allergy,ETLBatchTS,TIMESTAMP,1,
